run,seconds,phase,working_bytes,private_bytes,unity_bytes,motion_playables
e3fd-no-shots,390.173885,Ready,288620544,512331776,77998085,
e3fd-no-shots,395.174772,Ready,288620544,512331776,77997651,
e3fd-no-shots,400.175969,Ready,288583680,512266240,78008633,
e3fd-no-shots,405.176516,Ready,288583680,512266240,78008475,
e3fd-no-shots,410.177024,Ready,288583680,512266240,78008475,
e3fd-no-shots,415.177975,Ready,288583680,512266240,78020067,
e3fd-no-shots,420.189732,Ready,288591872,512274432,78019672,
e3fd-no-shots,425.190585,Ready,288591872,512274432,78019435,
e3fd-no-shots,430.191348,Ready,288591872,512274432,78030392,
e3fd-no-shots,435.19174,Ready,288591872,512274432,78030155,
e3fd-no-shots,440.192134,Ready,288591872,512274432,78030155,
e3fd-no-shots,445.19289,Ready,288591872,512274432,78040907,
e3fd-no-shots,450.193615,Ready,288591872,512274432,78041223,
e3fd-no-shots,455.201557,Ready,288649216,512274432,78091011,
e3fd-no-shots,460.202037,Ready,288649216,512274432,78101843,
e3fd-no-shots,465.203319,Ready,288649216,512274432,78101922,
e3fd-no-shots,470.204127,Ready,288649216,512274432,78102080,
e3fd-no-shots,475.204684,Ready,288649216,512274432,78112723,
e3fd-no-shots,480.205303,Ready,288534528,512274432,78113434,
e3fd-no-shots,485.205711,Ready,288374784,512274432,78112881,
e3fd-no-shots,490.207525,Ready,288440320,512274432,78151600,
e3fd-no-shots,495.209199,Ready,288440320,512274432,78151363,
e3fd-no-shots,500.210337,Ready,288440320,512274432,78151363,
e3fd-no-shots,505.210791,Ready,288440320,512274432,78162714,
e3fd-no-shots,510.211083,Ready,288440320,512274432,78162635,
e3fd-no-shots,515.211438,Ready,288440320,512274432,78162714,
e3fd-no-shots,520.211478,Ready,288440320,512274432,78173515,
e3fd-no-shots,525.211643,Ready,288440320,512274432,78173515,
e3fd-no-shots,530.213491,Ready,288440320,512274432,78173515,
e3fd-no-shots,535.21459,Ready,288423936,512241664,78184570,
e3fd-no-shots,540.215901,Ready,288423936,512241664,78184491,
e3fd-no-shots,545.217032,Ready,288423936,512241664,78184491,
e3fd-no-shots,550.217456,Ready,288423936,512241664,78195593,
e3fd-no-shots,555.218156,Ready,288436224,512270336,78195593,
e3fd-no-shots,560.218828,Ready,288436224,512270336,78195435,
e3fd-no-shots,565.219548,Ready,288436224,512270336,78206451,
e3fd-no-shots,570.220645,Ready,288436224,512270336,78206451,
e3fd-no-shots,575.221419,Ready,288436224,512270336,78206846,
e3fd-no-shots,580.221737,Ready,288436224,512270336,78217403,
e3fd-no-shots,585.222312,Ready,288436224,512270336,78217403,
e3fd-no-shots,590.223566,Ready,288436224,512270336,78217403,
e3fd-no-shots,595.22451,Ready,288305152,512270336,78228639,
